GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US77464,77464,ZCTA5 77464,98,38,77,33,49,26,21,19,49643,4250,48750,13139,49107,11228,-,**
8600000US77465,77465,ZCTA5 77465,2857,254,1929,239,1582,255,928,268,39353,7271,53614,13507,57188,12096,22731,4554
8600000US77466,77466,ZCTA5 77466,303,109,187,82,123,56,116,87,63772,10954,78250,15669,105089,46645,62692,51050
8600000US77467,77467,ZCTA5 77467,53,40,18,28,0,13,35,30,68681,59844,-,**,-,**,69931,36255
8600000US77468,77468,ZCTA5 77468,13,22,13,22,13,22,0,13,-,**,-,**,-,**,-,**
8600000US77469,77469,ZCTA5 77469,13812,559,10673,511,8029,489,3139,423,77634,8281,83855,6024,101091,6970,49264,6288
8600000US77470,77470,ZCTA5 77470,131,44,92,40,90,40,39,35,41250,26696,47500,13536,50104,15455,"2,500-",***
8600000US77471,77471,ZCTA5 77471,12217,562,8886,435,5489,441,3331,536,46825,3984,52152,3025,70079,5084,28872,8675
8600000US77473,77473,ZCTA5 77473,32,18,26,16,9,9,6,9,-,**,-,**,-,**,-,**
8600000US77474,77474,ZCTA5 77474,4618,257,3461,224,2563,264,1157,252,61196,7614,70560,14820,90186,8988,27326,5500
8600000US77475,77475,ZCTA5 77475,175,97,169,97,147,94,6,8,82614,23021,83295,21539,77216,25642,-,**
8600000US77476,77476,ZCTA5 77476,82,35,42,24,16,16,40,26,82750,22345,96136,26821,77778,47573,-,**
8600000US77477,77477,ZCTA5 77477,13070,474,9003,428,5884,437,4067,436,58633,3334,63539,6014,76052,5008,51363,4103
8600000US77478,77478,ZCTA5 77478,8929,366,7027,328,5914,348,1902,359,93955,7775,106250,6853,119026,11875,63974,9457
