Median Income (dollars),Month,Number of Households,Year,Zip Code
44164.666666666664,4,3209,2012,75021
43772.583333333336,5,3211,2012,75021
43380.5,6,3214,2012,75021
42988.416666666664,7,3217,2012,75021
42596.333333333336,8,3220,2012,75021
42204.25,9,3222,2012,75021
41812.166666666664,10,3225,2012,75021
41420.083333333336,11,3228,2012,75021
41028.0,12,3231,2012,75021
40942.333333333336,1,3231,2013,75021
40856.666666666664,2,3231,2013,75021
40771.0,3,3231,2013,75021
40685.333333333336,4,3231,2013,75021
40599.666666666664,5,3231,2013,75021
40514.0,6,3231,2013,75021
40428.333333333336,7,3231,2013,75021
40342.666666666664,8,3231,2013,75021
40257.0,9,3231,2013,75021
40171.333333333336,10,3231,2013,75021
40085.666666666664,11,3231,2013,75021
40000.0,12,3232,2013,75021
39987.166666666664,1,3231,2014,75021
39974.333333333336,2,3231,2014,75021
39961.5,3,3231,2014,75021
39948.666666666664,4,3231,2014,75021
39935.833333333336,5,3231,2014,75021
39923.0,6,3231,2014,75021
39910.166666666664,7,3231,2014,75021
39897.333333333336,8,3231,2014,75021
39884.5,9,3231,2014,75021
39871.666666666664,10,3231,2014,75021
39858.833333333336,11,3231,2014,75021
39846.0,12,3231,2014,75021
39778.75,1,3230,2015,75021
39711.5,2,3230,2015,75021
39644.25,3,3230,2015,75021
39577.0,4,3230,2015,75021
39509.75,5,3230,2015,75021
39442.5,6,3230,2015,75021
39375.25,7,3229,2015,75021
39308.0,8,3229,2015,75021
39240.75,9,3229,2015,75021
39173.5,10,3229,2015,75021
39106.25,11,3229,2015,75021
39039.0,12,3229,2015,75021
39245.083333333336,1,3227,2016,75021
39451.166666666664,2,3226,2016,75021
39657.25,3,3225,2016,75021
39863.333333333336,4,3224,2016,75021
40069.416666666664,5,3223,2016,75021
40275.5,6,3222,2016,75021
40481.583333333336,7,3221,2016,75021
40687.666666666664,8,3220,2016,75021
40893.75,9,3219,2016,75021
41099.833333333336,10,3218,2016,75021
41305.916666666664,11,3217,2016,75021
41512.0,12,3216,2016,75021
141625.0,1,6744,2011,75022
141625.0,2,6744,2011,75022
141625.0,3,6744,2011,75022
141625.0,4,6744,2011,75022
141625.0,5,6744,2011,75022
141625.0,6,6744,2011,75022
141625.0,7,6744,2011,75022
141625.0,8,6744,2011,75022
141625.0,9,6744,2011,75022
141625.0,10,6744,2011,75022
141625.0,11,6744,2011,75022
141625.0,12,6744,2011,75022
141555.16666666666,1,6758,2012,75022
141485.33333333334,2,6772,2012,75022
141415.5,3,6786,2012,75022
141345.66666666666,4,6800,2012,75022
141275.83333333334,5,6814,2012,75022
141206.0,6,6828,2012,75022
141136.16666666666,7,6842,2012,75022
141066.33333333334,8,6856,2012,75022
140996.5,9,6870,2012,75022
140926.66666666666,10,6884,2012,75022
140856.83333333334,11,6898,2012,75022
140787.0,12,6912,2012,75022
141216.25,1,6922,2013,75022
141645.5,2,6932,2013,75022
