Median Rental Price,Zip Code,Year,Month
1250.0,78745,2015,9
1250.0,78745,2015,10
1336.0,78745,2015,11
1250.0,78745,2015,12
1240.0,78745,2016,1
1245.0,78745,2016,2
1250.0,78745,2016,3
1188.5,78745,2016,4
1195.0,78745,2016,5
1250.0,78745,2016,6
1260.0,78745,2016,7
1250.0,78745,2016,8
1195.0,78745,2016,9
1222.5,78745,2016,10
1184.0,78745,2016,11
1195.0,78745,2016,12
1347.0,78745,2017,1
1400.0,78745,2017,2
1475.0,78745,2017,3
1512.5,78745,2017,4
1495.0,78745,2017,5
1595.0,78745,2017,6
1599.0,78745,2017,7
1595.0,78745,2017,8
1500.0,78745,2017,9
1497.5,78745,2017,10
1500.0,78745,2017,11
1450.0,78745,2017,12
1495.5,78745,2018,1
1500.0,78745,2018,2
1545.0,78745,2018,3
1595.0,78745,2018,4
3300.0,78746,2017,3
3232.5,78746,2017,4
3425.0,78746,2017,5
3149.0,78746,2017,6
3174.0,78746,2017,7
2995.0,78746,2017,8
2875.0,78746,2017,9
3250.0,78746,2017,10
3150.0,78746,2017,11
3025.0,78746,2017,12
3250.0,78746,2018,1
2997.5,78746,2018,2
3100.0,78746,2018,3
3495.0,78746,2018,4
1550.0,78747,2017,1
1547.5,78747,2017,2
1562.5,78747,2017,3
1550.0,78747,2017,4
1585.0,78747,2017,5
1527.5,78747,2017,6
1637.5,78747,2017,7
1695.0,78747,2017,8
1650.0,78747,2017,9
1600.0,78747,2017,10
1562.5,78747,2017,11
1500.0,78747,2017,12
1500.0,78747,2018,1
1572.5,78747,2018,2
1650.0,78747,2018,3
1699.0,78747,2018,4
1475.0,78748,2013,10
1450.0,78748,2013,11
1450.0,78748,2013,12
1485.0,78748,2014,1
1425.0,78748,2014,2
1495.0,78748,2014,3
1495.0,78748,2014,4
1437.5,78748,2014,5
1437.5,78748,2014,6
1575.0,78748,2014,7
1625.0,78748,2014,8
1595.0,78748,2014,9
1550.0,78748,2014,10
1540.0,78748,2014,11
1537.5,78748,2014,12
1497.5,78748,2015,1
1550.0,78748,2015,2
1500.0,78748,2015,3
1550.0,78748,2015,4
1625.0,78748,2015,5
1625.0,78748,2015,6
1600.0,78748,2015,7
1650.0,78748,2015,8
1650.0,78748,2015,9
1610.0,78748,2015,10
1597.5,78748,2015,11
1575.0,78748,2015,12
1650.0,78748,2016,1
1662.5,78748,2016,2
1650.0,78748,2016,3
1650.0,78748,2016,4
1550.0,78748,2016,5
1600.0,78748,2016,6
1662.5,78748,2016,7
1650.0,78748,2016,8
1596.5,78748,2016,9
1595.0,78748,2016,10
1537.5,78748,2016,11
1595.0,78748,2016,12
1650.0,78748,2017,1
1695.0,78748,2017,2
1695.0,78748,2017,3
1695.0,78748,2017,4
1650.0,78748,2017,5
1695.0,78748,2017,6
1735.0,78748,2017,7
1700.0,78748,2017,8
1650.0,78748,2017,9
1650.0,78748,2017,10
1650.0,78748,2017,11
1600.0,78748,2017,12
1612.5,78748,2018,1
1675.0,78748,2018,2
1695.0,78748,2018,3
1700.0,78748,2018,4
1142.5,78749,2013,2
1135.0,78749,2013,3
1315.0,78749,2013,4
1408.0,78749,2013,5
1399.5,78749,2013,6
1205.0,78749,2013,7
1299.0,78749,2013,8
1425.0,78749,2013,9
1500.0,78749,2013,10
1566.0,78749,2013,11
1475.0,78749,2013,12
1487.5,78749,2014,1
1475.0,78749,2014,2
1513.0,78749,2014,3
1597.5,78749,2014,4
1500.0,78749,2014,5
1525.0,78749,2014,6
1595.0,78749,2014,7
1695.0,78749,2014,8
1595.0,78749,2014,9
1535.0,78749,2014,10
1576.0,78749,2014,11
1712.5,78749,2014,12
1722.5,78749,2015,1
1553.5,78749,2015,2
1520.5,78749,2015,3
1566.0,78749,2015,4
1506.0,78749,2015,5
1762.5,78749,2015,6
1750.0,78749,2015,7
1695.0,78749,2015,8
1695.0,78749,2015,9
1675.0,78749,2015,10
1535.0,78749,2015,11
1542.5,78749,2015,12
1600.0,78749,2016,1
1695.0,78749,2016,2
1595.0,78749,2016,3
1520.5,78749,2016,4
1595.0,78749,2016,5
1622.5,78749,2016,6
1725.0,78749,2016,7
1650.0,78749,2016,8
1550.0,78749,2016,9
1425.0,78749,2016,10
1515.5,78749,2016,11
1478.5,78749,2016,12
1595.0,78749,2017,1
1695.0,78749,2017,2
1895.0,78749,2017,3
1895.0,78749,2017,4
1950.0,78749,2017,5
1935.0,78749,2017,6
1995.0,78749,2017,7
1895.0,78749,2017,8
1777.5,78749,2017,9
1750.0,78749,2017,10
1750.0,78749,2017,11
1797.5,78749,2017,12
1750.0,78749,2018,1
1772.5,78749,2018,2
1837.5,78749,2018,3
1825.0,78749,2018,4
2497.5,78751,2015,10
2700.0,78751,2015,11
2897.5,78751,2015,12
2500.0,78751,2016,1
2520.0,78751,2016,2
2385.0,78751,2016,3
2450.0,78751,2016,4
2335.0,78751,2016,5
2200.0,78751,2016,6
2300.0,78751,2016,7
2200.0,78751,2016,8
1995.0,78751,2016,9
2125.0,78751,2016,10
2500.0,78751,2016,11
2335.0,78751,2016,12
2550.0,78751,2017,1
2450.0,78751,2017,2
2400.0,78751,2017,3
2400.0,78751,2017,4
