Median Listing Price,Zip Code,Year,Month
224990.0,78725,2017,11
229000.0,78725,2017,12
226990.0,78725,2018,1
227490.0,78725,2018,2
229250.0,78725,2018,3
222990.0,78725,2018,4
335950.0,78726,2010,1
334744.0,78726,2010,2
334588.0,78726,2010,3
338000.0,78726,2010,4
339000.0,78726,2010,5
337000.0,78726,2010,6
329900.0,78726,2010,7
334500.0,78726,2010,8
329900.0,78726,2010,9
349000.0,78726,2010,10
349750.0,78726,2010,11
343000.0,78726,2010,12
335900.0,78726,2011,1
321878.5,78726,2011,2
321491.5,78726,2011,3
321491.5,78726,2011,4
315750.0,78726,2011,5
305900.0,78726,2011,6
305900.0,78726,2011,7
313995.0,78726,2011,8
315445.0,78726,2011,9
315445.0,78726,2011,10
318490.0,78726,2011,11
314900.0,78726,2011,12
319500.0,78726,2012,1
314900.0,78726,2012,2
314900.0,78726,2012,3
318483.0,78726,2012,4
323445.0,78726,2012,5
339000.0,78726,2012,6
361500.0,78726,2012,7
349900.0,78726,2012,8
349900.0,78726,2012,9
349900.0,78726,2012,10
373231.0,78726,2012,11
346490.0,78726,2012,12
375000.0,78726,2013,1
352015.5,78726,2013,2
359000.0,78726,2013,3
358495.0,78726,2013,4
358900.0,78726,2013,5
358400.0,78726,2013,6
385990.0,78726,2013,7
399450.0,78726,2013,8
407445.0,78726,2013,9
409995.0,78726,2013,10
396495.0,78726,2013,11
399450.0,78726,2013,12
397400.0,78726,2014,1
397400.0,78726,2014,2
425000.0,78726,2014,3
429500.0,78726,2014,4
421212.0,78726,2014,5
410000.0,78726,2014,6
407845.0,78726,2014,7
408922.5,78726,2014,8
419192.5,78726,2014,9
429000.0,78726,2014,10
430000.0,78726,2014,11
434000.0,78726,2014,12
431857.5,78726,2015,1
425550.0,78726,2015,2
430872.5,78726,2015,3
444495.0,78726,2015,4
448450.0,78726,2015,5
428030.0,78726,2015,6
419900.0,78726,2015,7
414800.0,78726,2015,8
430130.0,78726,2015,9
417945.0,78726,2015,10
422305.0,78726,2015,11
424000.0,78726,2015,12
423152.5,78726,2016,1
438130.0,78726,2016,2
443882.5,78726,2016,3
457450.0,78726,2016,4
475000.0,78726,2016,5
489400.0,78726,2016,6
494000.0,78726,2016,7
512730.0,78726,2016,8
492000.0,78726,2016,9
492000.0,78726,2016,10
470000.0,78726,2016,11
475000.0,78726,2016,12
489950.0,78726,2017,1
479950.0,78726,2017,2
479500.0,78726,2017,3
499900.0,78726,2017,4
489900.0,78726,2017,5
475000.0,78726,2017,6
469500.0,78726,2017,7
469500.0,78726,2017,8
471680.0,78726,2017,9
484000.0,78726,2017,10
499999.0,78726,2017,11
489950.0,78726,2017,12
468495.0,78726,2018,1
465000.0,78726,2018,2
469000.0,78726,2018,3
518000.0,78726,2018,4
198500.0,78727,2010,1
199500.0,78727,2010,2
199000.0,78727,2010,3
207250.0,78727,2010,4
205999.0,78727,2010,5
204900.0,78727,2010,6
205000.0,78727,2010,7
205000.0,78727,2010,8
199250.0,78727,2010,9
190000.0,78727,2010,10
189700.0,78727,2010,11
187250.0,78727,2010,12
184900.0,78727,2011,1
189500.0,78727,2011,2
192200.0,78727,2011,3
196400.0,78727,2011,4
194700.0,78727,2011,5
189900.0,78727,2011,6
192400.0,78727,2011,7
185000.0,78727,2011,8
178750.0,78727,2011,9
179450.0,78727,2011,10
162950.0,78727,2011,11
167500.0,78727,2011,12
167824.5,78727,2012,1
164900.0,78727,2012,2
177000.0,78727,2012,3
179325.0,78727,2012,4
192450.0,78727,2012,5
199950.0,78727,2012,6
196750.0,78727,2012,7
194500.0,78727,2012,8
195000.0,78727,2012,9
199900.0,78727,2012,10
209900.0,78727,2012,11
194500.0,78727,2012,12
208500.0,78727,2013,1
219500.0,78727,2013,2
227450.0,78727,2013,3
227000.0,78727,2013,4
227000.0,78727,2013,5
257990.0,78727,2013,6
259900.0,78727,2013,7
258000.0,78727,2013,8
259990.0,78727,2013,9
265990.0,78727,2013,10
265990.0,78727,2013,11
