Median Listing Price Per sqf,Zip Code,Year,Month
178.88888888889,78723,2014,3
191.15428293987,78723,2014,4
186.91588785047,78723,2014,5
202.06733326579,78723,2014,6
203.78792341679,78723,2014,7
203.36201006763,78723,2014,8
191.81802167284,78723,2014,9
200.0,78723,2014,10
185.18518518518,78723,2014,11
211.71979865772,78723,2014,12
221.71952055158,78723,2015,1
221.50298426479,78723,2015,2
221.7715680955,78723,2015,3
218.82121540966,78723,2015,4
211.24745641533,78723,2015,5
204.08163265306,78723,2015,6
211.06870229008,78723,2015,7
213.5557928457,78723,2015,8
219.55323386872,78723,2015,9
221.01562430353,78723,2015,10
222.9054054054,78723,2015,11
222.9054054054,78723,2015,12
224.17061611374,78723,2016,1
225.49019607843,78723,2016,2
227.17696153194,78723,2016,3
223.08149910767,78723,2016,4
224.84340314031,78723,2016,5
227.66787993473,78723,2016,6
232.46642917343,78723,2016,7
230.44216014165,78723,2016,8
229.05882352941,78723,2016,9
237.62368815592,78723,2016,10
234.80318923645,78723,2016,11
237.61650880099,78723,2016,12
237.96296296296,78723,2017,1
243.47235001148,78723,2017,2
248.07056229328,78723,2017,3
249.48735475051,78723,2017,4
249.68394437421,78723,2017,5
253.40570349762,78723,2017,6
250.20884849738,78723,2017,7
243.26523431487,78723,2017,8
246.52402022756,78723,2017,9
243.28722538649,78723,2017,10
242.83717456616,78723,2017,11
241.36179031026,78723,2017,12
253.54609929078,78723,2018,1
256.75675675676,78723,2018,2
260.41666666667,78723,2018,3
255.44202576633,78723,2018,4
122.1023027289,78724,2016,3
127.70735074818,78724,2016,4
134.29101019462,78724,2016,5
132.6697294538,78724,2016,6
135.27481542248,78724,2016,7
141.47018030513,78724,2016,8
149.89374620522,78724,2016,9
151.27188541083,78724,2016,10
149.73065131024,78724,2016,11
149.73065131024,78724,2016,12
130.13306564192,78724,2017,1
140.29239766082,78724,2017,2
138.21138211382,78724,2017,3
129.58630072216,78724,2017,4
138.50838079323,78724,2017,5
140.95788043478,78724,2017,6
139.19834710744,78724,2017,7
134.24872058528,78724,2017,8
143.779342723,78724,2017,9
143.779342723,78724,2017,10
119.0,78724,2017,11
119.22407478498,78724,2017,12
118.60033726813,78724,2018,1
118.834818776,78724,2018,2
126.71880417044,78724,2018,3
133.03492439525,78724,2018,4
102.72020169157,78725,2015,1
104.61547212742,78725,2015,2
100.1520713162,78725,2015,3
106.2143028683,78725,2015,4
108.52090032154,78725,2015,5
106.11205432937,78725,2015,6
99.999230769231,78725,2015,7
100.1520713162,78725,2015,8
100.16628836568,78725,2015,9
106.95246884416,78725,2015,10
104.97745796022,78725,2015,11
105.95632201429,78725,2015,12
107.59890727925,78725,2016,1
115.6686822313,78725,2016,2
118.21766561514,78725,2016,3
128.76285396162,78725,2016,4
126.3428377258,78725,2016,5
127.88696369637,78725,2016,6
128.69534591178,78725,2016,7
129.87769499296,78725,2016,8
128.80550343965,78725,2016,9
126.80868167203,78725,2016,10
120.94232171195,78725,2016,11
120.94232171195,78725,2016,12
130.49155145929,78725,2017,1
134.33655990403,78725,2017,2
137.73148148148,78725,2017,3
133.81005136933,78725,2017,4
131.2106918239,78725,2017,5
135.65536205316,78725,2017,6
127.42935906271,78725,2017,7
130.64712820459,78725,2017,8
132.55968169761,78725,2017,9
130.57647528765,78725,2017,10
131.29973474801,78725,2017,11
128.19855358317,78725,2017,12
126.31379050393,78725,2018,1
126.79582968657,78725,2018,2
128.77848411233,78725,2018,3
127.47813411079,78725,2018,4
109.5858515169,78726,2010,1
110.83716914938,78726,2010,2
111.06830421291,78726,2010,3
111.76631925398,78726,2010,4
115.17595307918,78726,2010,5
115.46198331256,78726,2010,6
