Median Price of Reduction,Zip Code,Year,Month
3.041825095057,78731,2017,4
2.4552845528455,78731,2017,5
2.1739130434783,78731,2017,6
2.3776225194851,78731,2017,7
2.1743857360296,78731,2017,8
2.8193920127161,78731,2017,9
2.2779043280182,78731,2017,10
2.4424632205165,78731,2017,11
1.8036039552433,78731,2017,12
1.8367346938775,78731,2018,1
0.91005685267981,78731,2018,2
2.8478882719165,78731,2018,3
3.2203007518797,78731,2018,4
3.2256639659107,78732,2010,9
3.1515151515152,78732,2010,10
2.4202923135332,78732,2010,11
2.366028329361,78732,2010,12
3.1259768677712,78732,2011,1
1.5898251192369,78732,2011,2
1.869322152341,78732,2011,3
2.4693047989383,78732,2011,4
2.5643655759565,78732,2011,5
2.5348542458809,78732,2011,6
2.8056112224449,78732,2011,7
3.226500359971,78732,2011,8
2.9357798165138,78732,2011,9
2.3737089201878,78732,2011,10
2.7777777777778,78732,2011,11
1.6345276251981,78732,2011,12
2.9517777047106,78732,2012,1
2.329959990586,78732,2012,2
2.3529411764706,78732,2012,3
2.5543286578583,78732,2012,4
2.6227136869439,78732,2012,5
2.3635347946372,78732,2012,6
1.7857142857143,78732,2012,7
2.2533182426176,78732,2012,8
2.3406149421352,78732,2012,9
1.9368286028392,78732,2012,10
3.3890809133713,78732,2012,11
2.143902254135,78732,2012,12
1.9193857965451,78732,2013,1
2.7785495971103,78732,2013,2
3.0694668820679,78732,2013,3
1.5479876160991,78732,2013,4
2.5976886962802,78732,2013,5
2.2561229069047,78732,2013,6
2.6074498567335,78732,2013,7
2.1637426900585,78732,2013,8
2.778313717924,78732,2013,9
2.8121716614815,78732,2013,10
1.6949152542373,78732,2013,11
4.816794025594,78732,2013,12
2.8027530461705,78732,2014,1
3.7037037037037,78732,2014,2
2.4597867619869,78732,2014,3
2.5833370602418,78732,2014,4
2.177110914975,78732,2014,5
2.0964729150643,78732,2014,6
2.5535665381389,78732,2014,7
2.1786492374728,78732,2014,8
2.1935483870968,78732,2014,9
3.3744243339606,78732,2014,10
2.1399920961386,78732,2014,11
3.7737971724647,78732,2014,12
2.2389272653393,78732,2015,1
3.1289111389236,78732,2015,2
2.7984344422701,78732,2015,3
2.4417344173442,78732,2015,4
2.6034482758621,78732,2015,5
2.0142393655371,78732,2015,6
2.4096385542169,78732,2015,7
2.1980676328502,78732,2015,8
2.444621702662,78732,2015,9
2.4420024420024,78732,2015,10
2.7785495971103,78732,2015,11
2.2249388753056,78732,2015,12
2.5700365408039,78732,2016,1
1.8555347609566,78732,2016,2
2.5012506253127,78732,2016,3
1.9047619047619,78732,2016,4
2.4029441477847,78732,2016,5
1.9047619047619,78732,2016,6
2.1400150553823,78732,2016,7
1.7742093444343,78732,2016,8
1.8475750577367,78732,2016,9
2.5500667556742,78732,2016,10
2.2727272727273,78732,2016,11
2.0276497695853,78732,2016,12
1.8181818181818,78732,2017,1
2.0449897750511,78732,2017,2
2.0254332888935,78732,2017,3
1.8441077441077,78732,2017,4
2.200488997555,78732,2017,5
1.9825708061002,78732,2017,6
2.1580928481807,78732,2017,7
1.9358126398921,78732,2017,8
1.6572473404255,78732,2017,9
1.4285714285714,78732,2017,10
2.2120308797676,78732,2017,11
1.3822234788855,78732,2017,12
1.6863506932432,78732,2018,1
1.6664618051288,78732,2018,2
2.0210246989182,78732,2018,3
2.1015826278984,78732,2018,4
4.3614130434783,78734,2010,9
3.8936980664056,78734,2010,10
3.6697247706422,78734,2010,11
4.1593579015127,78734,2010,12
3.2154673283706,78734,2011,1
3.2362459546926,78734,2011,2
4.0,78734,2011,3
3.2282878411911,78734,2011,4
3.3957173780831,78734,2011,5
3.2401433691756,78734,2011,6
3.1742043551089,78734,2011,7
3.2115972010414,78734,2011,8
2.5462319780186,78734,2011,9
2.6016260162602,78734,2011,10
3.2432432432432,78734,2011,11
2.1075352393757,78734,2011,12
2.1164021164021,78734,2012,1
3.0100334448161,78734,2012,2
2.3034154090548,78734,2012,3
2.6731154833517,78734,2012,4
2.777780864201,78734,2012,5
2.9713176815059,78734,2012,6
2.6696329254727,78734,2012,7
3.030303030303,78734,2012,8
3.5101495331707,78734,2012,9
2.8616444649351,78734,2012,10
2.6933664692838,78734,2012,11
3.8476337052713,78734,2012,12
2.9273315681083,78734,2013,1
3.3625218914186,78734,2013,2
3.4643554980161,78734,2013,3
3.396770472895,78734,2013,4
2.2643757702605,78734,2013,5
3.1890660592255,78734,2013,6
3.0201342281879,78734,2013,7
2.6625471129648,78734,2013,8
2.8985507246377,78734,2013,9
3.387551794058,78734,2013,10
3.0041145356869,78734,2013,11
3.5292091262746,78734,2013,12
2.7355623100304,78734,2014,1
2.3076923076923,78734,2014,2
2.0034063360623,78734,2014,3
2.2224444444444,78734,2014,4
2.3494252873563,78734,2014,5
2.8848821081831,78734,2014,6
2.865329512894,78734,2014,7
2.9611844737895,78734,2014,8
3.1890660592255,78734,2014,9
2.780787455975,78734,2014,10
2.8571428571429,78734,2014,11
2.0334635232301,78734,2014,12
3.0263307876439,78734,2015,1
3.0588235294118,78734,2015,2
3.0505050505051,78734,2015,3
2.598515922678,78734,2015,4
2.7302909829132,78734,2015,5
2.9391197038256,78734,2015,6
2.6829268292683,78734,2015,7
2.9597882724358,78734,2015,8
2.8268551236749,78734,2015,9
3.1914893617021,78734,2015,10
2.3069031685368,78734,2015,11
2.2100369019189,78734,2015,12
2.4263487129306,78734,2016,1
2.5034975193457,78734,2016,2
2.6543129361275,78734,2016,3
2.8313492063492,78734,2016,4
2.692860071952,78734,2016,5
3.0098138546199,78734,2016,6
2.788881748072,78734,2016,7
2.5178772200325,78734,2016,8
2.3255813953488,78734,2016,9
3.3567662565905,78734,2016,10
2.2176851839204,78734,2016,11
2.0892613525629,78734,2016,12
3.0395136778115,78734,2017,1
2.2741487772477,78734,2017,2
1.9047619047619,78734,2017,3
2.4295950323595,78734,2017,4
2.6806526806527,78734,2017,5
2.3529411764706,78734,2017,6
2.6537785588752,78734,2017,7
2.0418580908627,78734,2017,8
2.0958905613561,78734,2017,9
2.9379291098359,78734,2017,10
2.3256354798949,78734,2017,11
2.0285060464382,78734,2017,12
2.5520245434286,78734,2018,1
2.6504179788851,78734,2018,2
1.840490797546,78734,2018,3
1.8254763200871,78734,2018,4
2.0833333333333,78737,2010,9
3.4098658786088,78737,2010,10
3.2981450761574,78737,2010,11
6.0001714334695,78737,2010,12
3.9231289926998,78737,2011,1
5.2439196002907,78737,2011,2
3.3444816053512,78737,2011,3
2.9416090601559,78737,2011,4
