Median Price Cut,Zip Code,Year,Month
10001.0,78738,2015,8
13275.0,78738,2015,9
14900.0,78738,2015,10
15100.0,78738,2015,11
5000.0,78738,2015,12
9100.0,78738,2016,1
9000.0,78738,2016,2
15000.0,78738,2016,3
15250.0,78738,2016,4
15000.0,78738,2016,5
14900.0,78738,2016,6
10000.0,78738,2016,7
10999.0,78738,2016,8
10000.0,78738,2016,9
10049.5,78738,2016,10
11705.0,78738,2016,11
15000.0,78738,2016,12
10064.0,78738,2017,1
11850.0,78738,2017,2
11000.0,78738,2017,3
12500.0,78738,2017,4
10750.0,78738,2017,5
10000.5,78738,2017,6
10000.0,78738,2017,7
10000.0,78738,2017,8
10000.0,78738,2017,9
10000.0,78738,2017,10
10000.0,78738,2017,11
6550.0,78738,2017,12
10000.0,78738,2018,1
10000.0,78738,2018,2
6000.0,78738,2018,3
10000.0,78738,2018,4
9100.0,78739,2010,9
8400.0,78739,2010,10
9000.0,78739,2010,11
5500.0,78739,2010,12
8000.0,78739,2011,1
6550.0,78739,2011,2
7261.0,78739,2011,3
9007.5,78739,2011,4
6900.0,78739,2011,5
7997.0,78739,2011,6
5500.0,78739,2011,7
9250.0,78739,2011,8
5000.0,78739,2011,9
6000.0,78739,2011,10
7950.0,78739,2011,11
5000.0,78739,2011,12
10000.0,78739,2012,1
7250.0,78739,2012,2
10000.0,78739,2012,3
5100.0,78739,2012,4
9050.0,78739,2012,5
5100.0,78739,2012,6
7000.0,78739,2012,7
5000.0,78739,2012,8
6000.0,78739,2012,9
10000.0,78739,2012,10
7000.0,78739,2012,11
5600.0,78739,2012,12
10000.0,78739,2013,1
5100.0,78739,2013,2
7200.0,78739,2013,3
12500.0,78739,2013,4
10000.0,78739,2013,5
9000.0,78739,2013,6
10000.0,78739,2013,7
10000.0,78739,2013,8
9890.0,78739,2013,9
7500.0,78739,2013,10
7500.0,78739,2013,11
5000.0,78739,2013,12
5000.0,78739,2014,1
15050.0,78739,2014,2
7000.0,78739,2014,3
10000.0,78739,2014,4
9450.0,78739,2014,5
10990.0,78739,2014,6
10700.0,78739,2014,7
10000.0,78739,2014,8
5100.0,78739,2014,9
7500.0,78739,2014,10
15000.0,78739,2014,11
14580.0,78739,2014,12
10000.0,78739,2015,1
5000.0,78739,2015,2
5495.0,78739,2015,3
7000.0,78739,2015,4
6000.0,78739,2015,5
6550.0,78739,2015,6
10000.0,78739,2015,7
10000.0,78739,2015,8
10000.0,78739,2015,9
9900.0,78739,2015,10
6000.0,78739,2015,11
10000.0,78739,2015,12
4550.0,78739,2016,1
10000.0,78739,2016,2
10499.5,78739,2016,3
10000.0,78739,2016,4
7550.0,78739,2016,5
10000.0,78739,2016,6
11500.0,78739,2016,7
10000.0,78739,2016,8
9679.0,78739,2016,9
12450.0,78739,2016,10
9500.0,78739,2016,11
10000.0,78739,2016,12
6428.5,78739,2017,1
10050.0,78739,2017,2
10000.0,78739,2017,3
10750.0,78739,2017,4
8500.0,78739,2017,5
10000.0,78739,2017,6
10000.0,78739,2017,7
10000.0,78739,2017,8
9995.0,78739,2017,9
10000.0,78739,2017,10
5100.0,78739,2017,11
8000.0,78739,2017,12
10050.0,78739,2018,1
10000.0,78739,2018,2
15000.0,78739,2018,3
14000.0,78739,2018,4
5450.0,78745,2010,9
4900.0,78745,2010,10
4950.0,78745,2010,11
8000.0,78745,2010,12
5000.0,78745,2011,1
6000.0,78745,2011,2
5000.0,78745,2011,3
4075.0,78745,2011,4
4100.0,78745,2011,5
5100.0,78745,2011,6
5000.0,78745,2011,7
5000.0,78745,2011,8
5000.0,78745,2011,9
5000.0,78745,2011,10
5000.0,78745,2011,11
5000.0,78745,2011,12
5444.0,78745,2012,1
5000.0,78745,2012,2
5000.0,78745,2012,3
5000.0,78745,2012,4
5000.0,78745,2012,5
4750.0,78745,2012,6
